
2024/06/22 (20:48:56) | ===> btop++ v.1.3.2
2024/06/22 (20:48:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (20:49:09) | ===> btop++ v.1.3.2
2024/06/22 (20:49:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (14:51:02) | ===> btop++ v.1.3.2
2024/06/23 (14:51:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (19:44:04) | ===> btop++ v.1.3.2
2024/06/23 (19:44:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (10:26:02) | ===> btop++ v.1.3.2
2024/06/28 (10:26:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (20:26:07) | ===> btop++ v.1.3.2
2024/06/28 (20:26:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (20:33:06) | ===> btop++ v.1.3.2
2024/06/28 (20:33:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/28 (20:34:59) | ===> btop++ v.1.3.2
2024/06/28 (20:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (16:35:21) | ===> btop++ v.1.3.2
2024/07/01 (16:35:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (16:35:30) | ===> btop++ v.1.3.2
2024/07/01 (16:35:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (16:36:12) | ===> btop++ v.1.3.2
2024/07/01 (16:36:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (16:36:47) | ===> btop++ v.1.3.2
2024/07/01 (16:36:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/01 (16:36:58) | ===> btop++ v.1.3.2
2024/07/01 (16:36:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (08:21:27) | ===> btop++ v.1.3.2
2024/07/03 (08:21:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (08:43:41) | ===> btop++ v.1.3.2
2024/07/03 (08:43:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (10:46:10) | ===> btop++ v.1.3.2
2024/07/03 (10:46:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (11:11:20) | ===> btop++ v.1.3.2
2024/07/03 (11:11:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (11:13:47) | ===> btop++ v.1.3.2
2024/07/03 (11:13:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (11:15:02) | ===> btop++ v.1.3.2
2024/07/03 (11:15:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (11:19:38) | ===> btop++ v.1.3.2
2024/07/03 (11:19:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (11:19:45) | ===> btop++ v.1.3.2
2024/07/03 (11:19:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (13:00:15) | ===> btop++ v.1.3.2
2024/07/03 (13:00:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/07/03 (13:15:55) | ===> btop++ v.1.3.2
2024/07/03 (13:15:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
